11:02:33.108 Training @ 0 epoch...
11:02:35.231   Training iter 50, batch loss 1.3838, batch acc 0.5778
11:02:37.469   Training iter 100, batch loss 0.5985, batch acc 0.8182
11:02:39.619   Training iter 150, batch loss 0.4043, batch acc 0.8776
11:02:41.732   Training iter 200, batch loss 0.3361, batch acc 0.8954
11:02:43.832   Training iter 250, batch loss 0.2873, batch acc 0.9128
11:02:45.932   Training iter 300, batch loss 0.2738, batch acc 0.9202
11:02:48.027   Training iter 350, batch loss 0.2470, batch acc 0.9270
11:02:50.119   Training iter 400, batch loss 0.2353, batch acc 0.9370
11:02:52.205   Training iter 450, batch loss 0.2120, batch acc 0.9374
11:02:54.292   Training iter 500, batch loss 0.2060, batch acc 0.9392
11:02:56.388   Training iter 550, batch loss 0.1976, batch acc 0.9424
11:02:58.474   Training iter 600, batch loss 0.1941, batch acc 0.9408
11:02:58.476 Testing @ 0 epoch...
11:02:59.687     Testing, total mean loss 0.16108, total acc 0.95440
11:02:59.687 Training @ 1 epoch...
11:03:01.776   Training iter 50, batch loss 0.1735, batch acc 0.9470
11:03:03.862   Training iter 100, batch loss 0.1588, batch acc 0.9560
11:03:05.950   Training iter 150, batch loss 0.1526, batch acc 0.9528
11:03:08.044   Training iter 200, batch loss 0.1467, batch acc 0.9592
11:03:10.134   Training iter 250, batch loss 0.1427, batch acc 0.9558
11:03:12.223   Training iter 300, batch loss 0.1413, batch acc 0.9586
11:03:14.312   Training iter 350, batch loss 0.1268, batch acc 0.9624
11:03:16.399   Training iter 400, batch loss 0.1374, batch acc 0.9630
11:03:18.482   Training iter 450, batch loss 0.1408, batch acc 0.9578
11:03:20.565   Training iter 500, batch loss 0.1411, batch acc 0.9550
11:03:22.651   Training iter 550, batch loss 0.1512, batch acc 0.9546
11:03:24.740   Training iter 600, batch loss 0.1322, batch acc 0.9586
11:03:24.742 Training @ 2 epoch...
11:03:26.831   Training iter 50, batch loss 0.1342, batch acc 0.9604
11:03:28.917   Training iter 100, batch loss 0.1080, batch acc 0.9648
11:03:31.002   Training iter 150, batch loss 0.1272, batch acc 0.9578
11:03:33.086   Training iter 200, batch loss 0.1066, batch acc 0.9680
11:03:35.171   Training iter 250, batch loss 0.1086, batch acc 0.9694
11:03:37.253   Training iter 300, batch loss 0.1068, batch acc 0.9678
11:03:39.339   Training iter 350, batch loss 0.1078, batch acc 0.9686
11:03:41.426   Training iter 400, batch loss 0.1120, batch acc 0.9676
11:03:43.510   Training iter 450, batch loss 0.1215, batch acc 0.9650
11:03:45.595   Training iter 500, batch loss 0.1077, batch acc 0.9666
11:03:47.686   Training iter 550, batch loss 0.1026, batch acc 0.9680
11:03:49.772   Training iter 600, batch loss 0.1164, batch acc 0.9674
11:03:49.773 Training @ 3 epoch...
11:03:51.860   Training iter 50, batch loss 0.0997, batch acc 0.9708
11:03:53.941   Training iter 100, batch loss 0.1119, batch acc 0.9660
11:03:56.023   Training iter 150, batch loss 0.0908, batch acc 0.9728
11:03:58.110   Training iter 200, batch loss 0.0992, batch acc 0.9696
11:04:00.195   Training iter 250, batch loss 0.0967, batch acc 0.9702
11:04:02.276   Training iter 300, batch loss 0.1026, batch acc 0.9680
11:04:04.361   Training iter 350, batch loss 0.1040, batch acc 0.9696
11:04:06.443   Training iter 400, batch loss 0.1061, batch acc 0.9684
11:04:08.529   Training iter 450, batch loss 0.0860, batch acc 0.9760
11:04:10.612   Training iter 500, batch loss 0.0987, batch acc 0.9696
11:04:12.702   Training iter 550, batch loss 0.0910, batch acc 0.9700
11:04:14.782   Training iter 600, batch loss 0.0883, batch acc 0.9732
11:04:14.783 Training @ 4 epoch...
11:04:16.873   Training iter 50, batch loss 0.0985, batch acc 0.9706
11:04:18.959   Training iter 100, batch loss 0.0905, batch acc 0.9734
11:04:21.043   Training iter 150, batch loss 0.0865, batch acc 0.9730
11:04:23.127   Training iter 200, batch loss 0.0849, batch acc 0.9746
11:04:25.211   Training iter 250, batch loss 0.0908, batch acc 0.9748
11:04:27.303   Training iter 300, batch loss 0.0930, batch acc 0.9732
11:04:29.390   Training iter 350, batch loss 0.0860, batch acc 0.9712
11:04:31.472   Training iter 400, batch loss 0.0925, batch acc 0.9704
11:04:33.557   Training iter 450, batch loss 0.0885, batch acc 0.9730
11:04:35.648   Training iter 500, batch loss 0.0933, batch acc 0.9698
11:04:37.742   Training iter 550, batch loss 0.0826, batch acc 0.9742
11:04:39.827   Training iter 600, batch loss 0.0890, batch acc 0.9746
11:04:39.829 Training @ 5 epoch...
11:04:41.914   Training iter 50, batch loss 0.0833, batch acc 0.9740
11:04:43.989   Training iter 100, batch loss 0.0959, batch acc 0.9724
11:04:46.070   Training iter 150, batch loss 0.0845, batch acc 0.9764
11:04:48.140   Training iter 200, batch loss 0.0740, batch acc 0.9752
11:04:50.205   Training iter 250, batch loss 0.0828, batch acc 0.9726
11:04:52.267   Training iter 300, batch loss 0.1020, batch acc 0.9708
11:04:54.327   Training iter 350, batch loss 0.0724, batch acc 0.9778
11:04:56.389   Training iter 400, batch loss 0.0670, batch acc 0.9784
11:04:58.450   Training iter 450, batch loss 0.0687, batch acc 0.9778
11:05:00.507   Training iter 500, batch loss 0.0781, batch acc 0.9754
11:05:02.564   Training iter 550, batch loss 0.1006, batch acc 0.9702
11:05:04.623   Training iter 600, batch loss 0.0903, batch acc 0.9726
11:05:04.624 Testing @ 5 epoch...
11:05:05.884     Testing, total mean loss 0.06834, total acc 0.97940
11:05:05.884 Training @ 6 epoch...
11:05:07.977   Training iter 50, batch loss 0.0779, batch acc 0.9778
11:05:10.050   Training iter 100, batch loss 0.0874, batch acc 0.9732
11:05:12.127   Training iter 150, batch loss 0.0660, batch acc 0.9800
11:05:14.202   Training iter 200, batch loss 0.0770, batch acc 0.9748
11:05:16.274   Training iter 250, batch loss 0.0894, batch acc 0.9738
11:05:18.358   Training iter 300, batch loss 0.0681, batch acc 0.9794
11:05:20.432   Training iter 350, batch loss 0.0834, batch acc 0.9728
11:05:22.505   Training iter 400, batch loss 0.0790, batch acc 0.9768
11:05:24.582   Training iter 450, batch loss 0.0868, batch acc 0.9742
11:05:26.656   Training iter 500, batch loss 0.0702, batch acc 0.9798
11:05:28.731   Training iter 550, batch loss 0.0799, batch acc 0.9758
11:05:30.810   Training iter 600, batch loss 0.0818, batch acc 0.9756
11:05:30.811 Training @ 7 epoch...
11:05:32.894   Training iter 50, batch loss 0.0747, batch acc 0.9774
11:05:34.972   Training iter 100, batch loss 0.0661, batch acc 0.9786
11:05:37.046   Training iter 150, batch loss 0.0687, batch acc 0.9770
11:05:39.122   Training iter 200, batch loss 0.0701, batch acc 0.9774
11:05:41.194   Training iter 250, batch loss 0.0739, batch acc 0.9790
11:05:43.266   Training iter 300, batch loss 0.0779, batch acc 0.9772
11:05:45.341   Training iter 350, batch loss 0.0822, batch acc 0.9762
11:05:47.414   Training iter 400, batch loss 0.0883, batch acc 0.9732
11:05:49.487   Training iter 450, batch loss 0.0787, batch acc 0.9770
11:05:51.562   Training iter 500, batch loss 0.0680, batch acc 0.9802
11:05:53.636   Training iter 550, batch loss 0.0820, batch acc 0.9746
11:05:55.708   Training iter 600, batch loss 0.0737, batch acc 0.9778
11:05:55.709 Training @ 8 epoch...
11:05:57.782   Training iter 50, batch loss 0.0641, batch acc 0.9816
11:05:59.853   Training iter 100, batch loss 0.0694, batch acc 0.9780
11:06:01.928   Training iter 150, batch loss 0.0712, batch acc 0.9798
11:06:04.000   Training iter 200, batch loss 0.0801, batch acc 0.9764
11:06:06.074   Training iter 250, batch loss 0.0697, batch acc 0.9782
11:06:08.148   Training iter 300, batch loss 0.0734, batch acc 0.9774
11:06:10.218   Training iter 350, batch loss 0.0865, batch acc 0.9754
11:06:12.371   Training iter 400, batch loss 0.0852, batch acc 0.9756
11:06:14.441   Training iter 450, batch loss 0.0691, batch acc 0.9798
11:06:16.513   Training iter 500, batch loss 0.0666, batch acc 0.9788
11:06:18.589   Training iter 550, batch loss 0.0660, batch acc 0.9794
11:06:20.666   Training iter 600, batch loss 0.0615, batch acc 0.9804
11:06:20.667 Training @ 9 epoch...
11:06:22.749   Training iter 50, batch loss 0.0622, batch acc 0.9826
11:06:24.830   Training iter 100, batch loss 0.0795, batch acc 0.9770
11:06:26.908   Training iter 150, batch loss 0.0710, batch acc 0.9798
11:06:28.987   Training iter 200, batch loss 0.0737, batch acc 0.9774
11:06:31.080   Training iter 250, batch loss 0.0565, batch acc 0.9838
11:06:33.160   Training iter 300, batch loss 0.0609, batch acc 0.9812
11:06:35.244   Training iter 350, batch loss 0.0632, batch acc 0.9804
11:06:37.324   Training iter 400, batch loss 0.0761, batch acc 0.9746
11:06:39.407   Training iter 450, batch loss 0.0724, batch acc 0.9788
11:06:41.484   Training iter 500, batch loss 0.0678, batch acc 0.9788
11:06:43.556   Training iter 550, batch loss 0.0684, batch acc 0.9768
11:06:45.632   Training iter 600, batch loss 0.0759, batch acc 0.9762
11:06:45.634 Training @ 10 epoch...
11:06:47.717   Training iter 50, batch loss 0.0708, batch acc 0.9782
11:06:49.801   Training iter 100, batch loss 0.0711, batch acc 0.9798
11:06:51.877   Training iter 150, batch loss 0.0666, batch acc 0.9802
11:06:53.960   Training iter 200, batch loss 0.0603, batch acc 0.9814
11:06:56.049   Training iter 250, batch loss 0.0705, batch acc 0.9778
11:06:58.128   Training iter 300, batch loss 0.0750, batch acc 0.9798
11:07:00.210   Training iter 350, batch loss 0.0649, batch acc 0.9796
11:07:02.296   Training iter 400, batch loss 0.0657, batch acc 0.9788
11:07:04.381   Training iter 450, batch loss 0.0700, batch acc 0.9788
11:07:06.457   Training iter 500, batch loss 0.0618, batch acc 0.9772
11:07:08.534   Training iter 550, batch loss 0.0705, batch acc 0.9776
11:07:10.613   Training iter 600, batch loss 0.0608, batch acc 0.9810
11:07:10.614 Testing @ 10 epoch...
11:07:11.874     Testing, total mean loss 0.06514, total acc 0.97950
11:07:11.874 Training @ 11 epoch...
11:07:13.958   Training iter 50, batch loss 0.0616, batch acc 0.9816
11:07:16.028   Training iter 100, batch loss 0.0620, batch acc 0.9792
11:07:18.097   Training iter 150, batch loss 0.0759, batch acc 0.9768
11:07:20.171   Training iter 200, batch loss 0.0633, batch acc 0.9804
11:07:22.240   Training iter 250, batch loss 0.0756, batch acc 0.9768
11:07:24.317   Training iter 300, batch loss 0.0656, batch acc 0.9800
11:07:26.396   Training iter 350, batch loss 0.0670, batch acc 0.9810
11:07:28.473   Training iter 400, batch loss 0.0654, batch acc 0.9796
11:07:30.550   Training iter 450, batch loss 0.0658, batch acc 0.9808
11:07:32.629   Training iter 500, batch loss 0.0620, batch acc 0.9824
11:07:34.710   Training iter 550, batch loss 0.0645, batch acc 0.9816
11:07:36.790   Training iter 600, batch loss 0.0633, batch acc 0.9804
11:07:36.792 Training @ 12 epoch...
11:07:38.872   Training iter 50, batch loss 0.0680, batch acc 0.9790
11:07:40.949   Training iter 100, batch loss 0.0672, batch acc 0.9798
11:07:43.033   Training iter 150, batch loss 0.0584, batch acc 0.9812
11:07:45.114   Training iter 200, batch loss 0.0686, batch acc 0.9816
11:07:47.194   Training iter 250, batch loss 0.0599, batch acc 0.9814
11:07:49.272   Training iter 300, batch loss 0.0650, batch acc 0.9796
11:07:51.351   Training iter 350, batch loss 0.0594, batch acc 0.9824
11:07:53.434   Training iter 400, batch loss 0.0594, batch acc 0.9812
11:07:55.512   Training iter 450, batch loss 0.0700, batch acc 0.9784
11:07:57.597   Training iter 500, batch loss 0.0598, batch acc 0.9788
11:07:59.676   Training iter 550, batch loss 0.0702, batch acc 0.9786
11:08:01.759   Training iter 600, batch loss 0.0640, batch acc 0.9810
11:08:01.760 Training @ 13 epoch...
11:08:03.840   Training iter 50, batch loss 0.0625, batch acc 0.9806
11:08:05.918   Training iter 100, batch loss 0.0587, batch acc 0.9816
11:08:07.997   Training iter 150, batch loss 0.0615, batch acc 0.9780
11:08:10.072   Training iter 200, batch loss 0.0554, batch acc 0.9836
11:08:12.148   Training iter 250, batch loss 0.0585, batch acc 0.9820
11:08:14.225   Training iter 300, batch loss 0.0603, batch acc 0.9822
11:08:16.299   Training iter 350, batch loss 0.0731, batch acc 0.9808
11:08:18.374   Training iter 400, batch loss 0.0695, batch acc 0.9796
11:08:20.448   Training iter 450, batch loss 0.0654, batch acc 0.9794
11:08:22.523   Training iter 500, batch loss 0.0689, batch acc 0.9796
11:08:24.598   Training iter 550, batch loss 0.0629, batch acc 0.9812
11:08:26.672   Training iter 600, batch loss 0.0602, batch acc 0.9828
11:08:26.674 Training @ 14 epoch...
11:08:28.757   Training iter 50, batch loss 0.0583, batch acc 0.9814
11:08:30.835   Training iter 100, batch loss 0.0614, batch acc 0.9816
11:08:32.917   Training iter 150, batch loss 0.0507, batch acc 0.9832
11:08:34.994   Training iter 200, batch loss 0.0657, batch acc 0.9782
11:08:37.077   Training iter 250, batch loss 0.0618, batch acc 0.9810
11:08:39.156   Training iter 300, batch loss 0.0579, batch acc 0.9844
11:08:41.238   Training iter 350, batch loss 0.0684, batch acc 0.9806
11:08:43.325   Training iter 400, batch loss 0.0690, batch acc 0.9784
11:08:45.407   Training iter 450, batch loss 0.0595, batch acc 0.9816
11:08:47.485   Training iter 500, batch loss 0.0573, batch acc 0.9820
11:08:49.567   Training iter 550, batch loss 0.0612, batch acc 0.9806
11:08:51.647   Training iter 600, batch loss 0.0664, batch acc 0.9788
11:08:51.648 Training @ 15 epoch...
11:08:53.728   Training iter 50, batch loss 0.0502, batch acc 0.9854
11:08:55.807   Training iter 100, batch loss 0.0558, batch acc 0.9836
11:08:57.892   Training iter 150, batch loss 0.0605, batch acc 0.9798
11:08:59.970   Training iter 200, batch loss 0.0630, batch acc 0.9790
11:09:02.048   Training iter 250, batch loss 0.0655, batch acc 0.9808
11:09:04.126   Training iter 300, batch loss 0.0677, batch acc 0.9778
11:09:06.206   Training iter 350, batch loss 0.0671, batch acc 0.9808
11:09:08.281   Training iter 400, batch loss 0.0609, batch acc 0.9812
11:09:10.361   Training iter 450, batch loss 0.0576, batch acc 0.9838
11:09:12.438   Training iter 500, batch loss 0.0557, batch acc 0.9818
11:09:14.517   Training iter 550, batch loss 0.0617, batch acc 0.9816
11:09:16.591   Training iter 600, batch loss 0.0577, batch acc 0.9822
11:09:16.593 Testing @ 15 epoch...
11:09:17.858     Testing, total mean loss 0.05369, total acc 0.98210
11:09:17.858 Training @ 16 epoch...
11:09:19.952   Training iter 50, batch loss 0.0496, batch acc 0.9870
11:09:22.024   Training iter 100, batch loss 0.0568, batch acc 0.9822
11:09:24.092   Training iter 150, batch loss 0.0547, batch acc 0.9812
11:09:26.168   Training iter 200, batch loss 0.0572, batch acc 0.9830
11:09:28.241   Training iter 250, batch loss 0.0728, batch acc 0.9778
11:09:30.327   Training iter 300, batch loss 0.0607, batch acc 0.9832
11:09:32.409   Training iter 350, batch loss 0.0682, batch acc 0.9788
11:09:34.493   Training iter 400, batch loss 0.0598, batch acc 0.9822
11:09:36.578   Training iter 450, batch loss 0.0565, batch acc 0.9814
11:09:38.679   Training iter 500, batch loss 0.0527, batch acc 0.9846
11:09:40.773   Training iter 550, batch loss 0.0657, batch acc 0.9804
11:09:42.871   Training iter 600, batch loss 0.0554, batch acc 0.9822
11:09:42.872 Training @ 17 epoch...
11:09:44.970   Training iter 50, batch loss 0.0654, batch acc 0.9802
11:09:47.067   Training iter 100, batch loss 0.0528, batch acc 0.9850
11:09:49.166   Training iter 150, batch loss 0.0621, batch acc 0.9818
11:09:51.266   Training iter 200, batch loss 0.0556, batch acc 0.9844
11:09:53.361   Training iter 250, batch loss 0.0653, batch acc 0.9816
11:09:55.458   Training iter 300, batch loss 0.0544, batch acc 0.9832
11:09:57.562   Training iter 350, batch loss 0.0659, batch acc 0.9786
11:09:59.661   Training iter 400, batch loss 0.0570, batch acc 0.9818
11:10:01.794   Training iter 450, batch loss 0.0567, batch acc 0.9826
11:10:03.930   Training iter 500, batch loss 0.0580, batch acc 0.9828
11:10:06.010   Training iter 550, batch loss 0.0565, batch acc 0.9828
11:10:08.095   Training iter 600, batch loss 0.0490, batch acc 0.9854
11:10:08.096 Training @ 18 epoch...
11:10:10.183   Training iter 50, batch loss 0.0501, batch acc 0.9842
11:10:12.270   Training iter 100, batch loss 0.0558, batch acc 0.9818
11:10:14.361   Training iter 150, batch loss 0.0526, batch acc 0.9820
11:10:16.445   Training iter 200, batch loss 0.0483, batch acc 0.9872
11:10:18.534   Training iter 250, batch loss 0.0569, batch acc 0.9844
11:10:20.620   Training iter 300, batch loss 0.0658, batch acc 0.9814
11:10:22.712   Training iter 350, batch loss 0.0609, batch acc 0.9838
11:10:24.803   Training iter 400, batch loss 0.0560, batch acc 0.9822
11:10:26.890   Training iter 450, batch loss 0.0682, batch acc 0.9778
11:10:28.977   Training iter 500, batch loss 0.0563, batch acc 0.9826
11:10:31.064   Training iter 550, batch loss 0.0598, batch acc 0.9808
11:10:33.150   Training iter 600, batch loss 0.0615, batch acc 0.9812
11:10:33.152 Training @ 19 epoch...
11:10:35.243   Training iter 50, batch loss 0.0532, batch acc 0.9854
11:10:37.332   Training iter 100, batch loss 0.0478, batch acc 0.9854
11:10:39.419   Training iter 150, batch loss 0.0643, batch acc 0.9800
11:10:41.509   Training iter 200, batch loss 0.0559, batch acc 0.9828
11:10:43.595   Training iter 250, batch loss 0.0724, batch acc 0.9792
11:10:45.681   Training iter 300, batch loss 0.0501, batch acc 0.9844
11:10:47.764   Training iter 350, batch loss 0.0509, batch acc 0.9848
11:10:49.846   Training iter 400, batch loss 0.0585, batch acc 0.9806
11:10:51.931   Training iter 450, batch loss 0.0629, batch acc 0.9800
11:10:54.017   Training iter 500, batch loss 0.0549, batch acc 0.9828
11:10:56.106   Training iter 550, batch loss 0.0572, batch acc 0.9836
11:10:58.190   Training iter 600, batch loss 0.0525, batch acc 0.9844
11:10:58.192 Training @ 20 epoch...
11:11:00.280   Training iter 50, batch loss 0.0581, batch acc 0.9824
11:11:02.368   Training iter 100, batch loss 0.0482, batch acc 0.9862
11:11:04.458   Training iter 150, batch loss 0.0613, batch acc 0.9840
11:11:06.541   Training iter 200, batch loss 0.0524, batch acc 0.9836
11:11:08.630   Training iter 250, batch loss 0.0478, batch acc 0.9854
11:11:10.720   Training iter 300, batch loss 0.0554, batch acc 0.9836
11:11:12.802   Training iter 350, batch loss 0.0574, batch acc 0.9826
11:11:14.892   Training iter 400, batch loss 0.0603, batch acc 0.9790
11:11:16.983   Training iter 450, batch loss 0.0624, batch acc 0.9806
11:11:19.070   Training iter 500, batch loss 0.0626, batch acc 0.9796
11:11:21.156   Training iter 550, batch loss 0.0572, batch acc 0.9820
11:11:23.246   Training iter 600, batch loss 0.0523, batch acc 0.9860
11:11:23.247 Testing @ 20 epoch...
11:11:24.512     Testing, total mean loss 0.05442, total acc 0.98340
11:11:24.512 Training @ 21 epoch...
11:11:26.588   Training iter 50, batch loss 0.0451, batch acc 0.9888
11:11:28.628   Training iter 100, batch loss 0.0485, batch acc 0.9854
11:11:30.667   Training iter 150, batch loss 0.0554, batch acc 0.9822
11:11:32.708   Training iter 200, batch loss 0.0583, batch acc 0.9810
11:11:34.746   Training iter 250, batch loss 0.0517, batch acc 0.9844
11:11:36.797   Training iter 300, batch loss 0.0482, batch acc 0.9838
11:11:38.846   Training iter 350, batch loss 0.0616, batch acc 0.9810
11:11:40.896   Training iter 400, batch loss 0.0671, batch acc 0.9792
11:11:42.945   Training iter 450, batch loss 0.0525, batch acc 0.9842
11:11:44.994   Training iter 500, batch loss 0.0525, batch acc 0.9858
11:11:47.043   Training iter 550, batch loss 0.0677, batch acc 0.9808
11:11:49.088   Training iter 600, batch loss 0.0588, batch acc 0.9832
11:11:49.089 Training @ 22 epoch...
11:11:51.145   Training iter 50, batch loss 0.0586, batch acc 0.9826
11:11:53.195   Training iter 100, batch loss 0.0650, batch acc 0.9802
11:11:55.250   Training iter 150, batch loss 0.0508, batch acc 0.9838
11:11:57.304   Training iter 200, batch loss 0.0656, batch acc 0.9796
11:11:59.355   Training iter 250, batch loss 0.0454, batch acc 0.9858
11:12:01.407   Training iter 300, batch loss 0.0529, batch acc 0.9826
11:12:03.456   Training iter 350, batch loss 0.0543, batch acc 0.9828
11:12:05.489   Training iter 400, batch loss 0.0596, batch acc 0.9806
11:12:07.512   Training iter 450, batch loss 0.0447, batch acc 0.9860
11:12:09.537   Training iter 500, batch loss 0.0504, batch acc 0.9848
11:12:11.568   Training iter 550, batch loss 0.0561, batch acc 0.9834
11:12:13.575   Training iter 600, batch loss 0.0532, batch acc 0.9852
11:12:13.576 Training @ 23 epoch...
11:12:15.609   Training iter 50, batch loss 0.0519, batch acc 0.9838
11:12:17.640   Training iter 100, batch loss 0.0568, batch acc 0.9852
11:12:19.668   Training iter 150, batch loss 0.0539, batch acc 0.9816
11:12:21.698   Training iter 200, batch loss 0.0607, batch acc 0.9808
11:12:23.726   Training iter 250, batch loss 0.0425, batch acc 0.9876
11:12:25.769   Training iter 300, batch loss 0.0614, batch acc 0.9810
11:12:27.801   Training iter 350, batch loss 0.0637, batch acc 0.9834
11:12:29.835   Training iter 400, batch loss 0.0482, batch acc 0.9846
11:12:31.865   Training iter 450, batch loss 0.0517, batch acc 0.9840
11:12:33.900   Training iter 500, batch loss 0.0551, batch acc 0.9828
11:12:35.933   Training iter 550, batch loss 0.0598, batch acc 0.9818
11:12:37.971   Training iter 600, batch loss 0.0484, batch acc 0.9856
11:12:37.972 Training @ 24 epoch...
11:12:40.015   Training iter 50, batch loss 0.0633, batch acc 0.9802
11:12:42.053   Training iter 100, batch loss 0.0467, batch acc 0.9860
11:12:44.083   Training iter 150, batch loss 0.0486, batch acc 0.9836
11:12:46.123   Training iter 200, batch loss 0.0471, batch acc 0.9832
11:12:48.162   Training iter 250, batch loss 0.0631, batch acc 0.9804
11:12:50.201   Training iter 300, batch loss 0.0474, batch acc 0.9870
11:12:52.235   Training iter 350, batch loss 0.0547, batch acc 0.9838
11:12:54.267   Training iter 400, batch loss 0.0544, batch acc 0.9822
11:12:56.297   Training iter 450, batch loss 0.0496, batch acc 0.9832
11:12:58.323   Training iter 500, batch loss 0.0610, batch acc 0.9820
11:13:00.351   Training iter 550, batch loss 0.0535, batch acc 0.9832
11:13:02.381   Training iter 600, batch loss 0.0533, batch acc 0.9852
11:13:02.382 Training @ 25 epoch...
11:13:04.416   Training iter 50, batch loss 0.0555, batch acc 0.9820
11:13:06.446   Training iter 100, batch loss 0.0536, batch acc 0.9836
