16:16:13.349 Training @ 0 epoch...
16:16:15.474   Training iter 50, batch loss 0.4504, batch acc 0.1704
16:16:17.579   Training iter 100, batch loss 0.4284, batch acc 0.3242
16:16:19.696   Training iter 150, batch loss 0.3840, batch acc 0.4980
16:16:21.772   Training iter 200, batch loss 0.3233, batch acc 0.6530
16:16:23.870   Training iter 250, batch loss 0.2934, batch acc 0.7230
16:16:25.988   Training iter 300, batch loss 0.2704, batch acc 0.7616
16:16:28.098   Training iter 350, batch loss 0.2594, batch acc 0.7878
16:16:30.464   Training iter 400, batch loss 0.2493, batch acc 0.8042
16:16:32.566   Training iter 450, batch loss 0.2360, batch acc 0.8258
16:16:34.656   Training iter 500, batch loss 0.2323, batch acc 0.8262
16:16:36.744   Training iter 550, batch loss 0.2292, batch acc 0.8328
16:16:38.829   Training iter 600, batch loss 0.2182, batch acc 0.8468
16:16:38.831 Testing @ 0 epoch...
16:16:40.047     Testing, total mean loss 0.21351, total acc 0.85250
16:16:40.047 Training @ 1 epoch...
16:16:42.144   Training iter 50, batch loss 0.2154, batch acc 0.8514
16:16:44.241   Training iter 100, batch loss 0.2116, batch acc 0.8514
16:16:46.335   Training iter 150, batch loss 0.2043, batch acc 0.8688
16:16:48.433   Training iter 200, batch loss 0.1953, batch acc 0.8728
16:16:50.531   Training iter 250, batch loss 0.1961, batch acc 0.8670
16:16:52.643   Training iter 300, batch loss 0.1924, batch acc 0.8698
16:16:54.740   Training iter 350, batch loss 0.1896, batch acc 0.8742
16:16:56.799   Training iter 400, batch loss 0.1810, batch acc 0.8828
16:16:58.837   Training iter 450, batch loss 0.1787, batch acc 0.8822
16:17:00.875   Training iter 500, batch loss 0.1767, batch acc 0.8920
16:17:02.913   Training iter 550, batch loss 0.1757, batch acc 0.8834
16:17:04.953   Training iter 600, batch loss 0.1701, batch acc 0.8956
16:17:04.954 Training @ 2 epoch...
16:17:06.996   Training iter 50, batch loss 0.1651, batch acc 0.8986
16:17:09.040   Training iter 100, batch loss 0.1628, batch acc 0.9048
16:17:11.077   Training iter 150, batch loss 0.1628, batch acc 0.9002
16:17:13.109   Training iter 200, batch loss 0.1614, batch acc 0.9010
16:17:15.150   Training iter 250, batch loss 0.1569, batch acc 0.9072
16:17:17.181   Training iter 300, batch loss 0.1527, batch acc 0.9118
16:17:19.213   Training iter 350, batch loss 0.1538, batch acc 0.9116
16:17:21.253   Training iter 400, batch loss 0.1523, batch acc 0.9184
16:17:23.287   Training iter 450, batch loss 0.1496, batch acc 0.9192
16:17:25.323   Training iter 500, batch loss 0.1494, batch acc 0.9118
16:17:27.355   Training iter 550, batch loss 0.1463, batch acc 0.9208
16:17:29.393   Training iter 600, batch loss 0.1441, batch acc 0.9240
16:17:29.394 Training @ 3 epoch...
16:17:31.436   Training iter 50, batch loss 0.1428, batch acc 0.9224
16:17:33.466   Training iter 100, batch loss 0.1437, batch acc 0.9230
16:17:35.496   Training iter 150, batch loss 0.1410, batch acc 0.9264
16:17:37.532   Training iter 200, batch loss 0.1425, batch acc 0.9262
16:17:39.566   Training iter 250, batch loss 0.1386, batch acc 0.9282
16:17:41.596   Training iter 300, batch loss 0.1395, batch acc 0.9272
16:17:43.595   Training iter 350, batch loss 0.1406, batch acc 0.9202
16:17:45.609   Training iter 400, batch loss 0.1362, batch acc 0.9346
16:17:47.634   Training iter 450, batch loss 0.1371, batch acc 0.9302
16:17:49.665   Training iter 500, batch loss 0.1342, batch acc 0.9372
16:17:51.686   Training iter 550, batch loss 0.1318, batch acc 0.9380
16:17:53.693   Training iter 600, batch loss 0.1379, batch acc 0.9316
16:17:53.694 Training @ 4 epoch...
16:17:55.724   Training iter 50, batch loss 0.1350, batch acc 0.9338
16:17:57.732   Training iter 100, batch loss 0.1311, batch acc 0.9378
16:17:59.738   Training iter 150, batch loss 0.1320, batch acc 0.9362
16:18:01.740   Training iter 200, batch loss 0.1325, batch acc 0.9318
16:18:03.752   Training iter 250, batch loss 0.1329, batch acc 0.9332
16:18:05.774   Training iter 300, batch loss 0.1316, batch acc 0.9392
16:18:07.801   Training iter 350, batch loss 0.1300, batch acc 0.9402
16:18:09.804   Training iter 400, batch loss 0.1321, batch acc 0.9342
16:18:11.803   Training iter 450, batch loss 0.1286, batch acc 0.9392
16:18:13.808   Training iter 500, batch loss 0.1297, batch acc 0.9344
16:18:15.812   Training iter 550, batch loss 0.1281, batch acc 0.9382
16:18:17.815   Training iter 600, batch loss 0.1302, batch acc 0.9332
16:18:17.816 Training @ 5 epoch...
16:18:19.822   Training iter 50, batch loss 0.1281, batch acc 0.9396
16:18:21.827   Training iter 100, batch loss 0.1276, batch acc 0.9390
16:18:23.824   Training iter 150, batch loss 0.1277, batch acc 0.9376
16:18:25.828   Training iter 200, batch loss 0.1286, batch acc 0.9362
16:18:27.840   Training iter 250, batch loss 0.1261, batch acc 0.9426
16:18:29.844   Training iter 300, batch loss 0.1275, batch acc 0.9390
16:18:31.850   Training iter 350, batch loss 0.1262, batch acc 0.9414
16:18:33.851   Training iter 400, batch loss 0.1238, batch acc 0.9440
16:18:35.850   Training iter 450, batch loss 0.1267, batch acc 0.9414
16:18:37.860   Training iter 500, batch loss 0.1234, batch acc 0.9456
16:18:39.864   Training iter 550, batch loss 0.1232, batch acc 0.9452
16:18:41.868   Training iter 600, batch loss 0.1228, batch acc 0.9458
16:18:41.869 Testing @ 5 epoch...
16:18:43.026     Testing, total mean loss 0.12046, total acc 0.94790
16:18:43.026 Training @ 6 epoch...
16:18:45.038   Training iter 50, batch loss 0.1234, batch acc 0.9410
16:18:47.039   Training iter 100, batch loss 0.1244, batch acc 0.9426
16:18:49.038   Training iter 150, batch loss 0.1228, batch acc 0.9464
16:18:51.038   Training iter 200, batch loss 0.1244, batch acc 0.9440
16:18:53.038   Training iter 250, batch loss 0.1230, batch acc 0.9400
16:18:55.048   Training iter 300, batch loss 0.1227, batch acc 0.9434
16:18:57.048   Training iter 350, batch loss 0.1211, batch acc 0.9430
16:18:59.048   Training iter 400, batch loss 0.1206, batch acc 0.9440
16:19:01.046   Training iter 450, batch loss 0.1233, batch acc 0.9454
16:19:03.048   Training iter 500, batch loss 0.1201, batch acc 0.9446
16:19:05.060   Training iter 550, batch loss 0.1203, batch acc 0.9456
16:19:07.063   Training iter 600, batch loss 0.1178, batch acc 0.9474
16:19:07.064 Training @ 7 epoch...
16:19:09.077   Training iter 50, batch loss 0.1218, batch acc 0.9460
16:19:11.099   Training iter 100, batch loss 0.1202, batch acc 0.9456
16:19:13.123   Training iter 150, batch loss 0.1204, batch acc 0.9456
16:19:15.152   Training iter 200, batch loss 0.1216, batch acc 0.9420
16:19:17.179   Training iter 250, batch loss 0.1181, batch acc 0.9456
16:19:19.210   Training iter 300, batch loss 0.1170, batch acc 0.9466
16:19:21.241   Training iter 350, batch loss 0.1196, batch acc 0.9454
16:19:23.271   Training iter 400, batch loss 0.1158, batch acc 0.9512
16:19:25.301   Training iter 450, batch loss 0.1191, batch acc 0.9472
16:19:27.328   Training iter 500, batch loss 0.1215, batch acc 0.9416
16:19:29.353   Training iter 550, batch loss 0.1175, batch acc 0.9506
16:19:31.379   Training iter 600, batch loss 0.1192, batch acc 0.9462
16:19:31.380 Training @ 8 epoch...
16:19:33.389   Training iter 50, batch loss 0.1163, batch acc 0.9476
16:19:35.394   Training iter 100, batch loss 0.1180, batch acc 0.9458
16:19:37.410   Training iter 150, batch loss 0.1172, batch acc 0.9480
16:19:39.416   Training iter 200, batch loss 0.1197, batch acc 0.9430
16:19:41.427   Training iter 250, batch loss 0.1159, batch acc 0.9518
16:19:43.438   Training iter 300, batch loss 0.1157, batch acc 0.9452
16:19:45.452   Training iter 350, batch loss 0.1158, batch acc 0.9520
16:19:47.457   Training iter 400, batch loss 0.1153, batch acc 0.9482
16:19:49.470   Training iter 450, batch loss 0.1143, batch acc 0.9528
16:19:51.487   Training iter 500, batch loss 0.1162, batch acc 0.9490
16:19:53.506   Training iter 550, batch loss 0.1148, batch acc 0.9476
16:19:55.526   Training iter 600, batch loss 0.1160, batch acc 0.9458
16:19:55.527 Training @ 9 epoch...
16:19:57.534   Training iter 50, batch loss 0.1159, batch acc 0.9490
16:19:59.550   Training iter 100, batch loss 0.1152, batch acc 0.9484
16:20:01.556   Training iter 150, batch loss 0.1141, batch acc 0.9494
16:20:03.567   Training iter 200, batch loss 0.1154, batch acc 0.9490
16:20:05.568   Training iter 250, batch loss 0.1120, batch acc 0.9538
16:20:07.568   Training iter 300, batch loss 0.1137, batch acc 0.9494
16:20:09.571   Training iter 350, batch loss 0.1154, batch acc 0.9488
16:20:11.586   Training iter 400, batch loss 0.1158, batch acc 0.9452
16:20:13.598   Training iter 450, batch loss 0.1125, batch acc 0.9534
16:20:15.601   Training iter 500, batch loss 0.1160, batch acc 0.9474
16:20:17.619   Training iter 550, batch loss 0.1147, batch acc 0.9500
16:20:19.644   Training iter 600, batch loss 0.1103, batch acc 0.9524
16:20:19.645 Training @ 10 epoch...
16:20:21.669   Training iter 50, batch loss 0.1154, batch acc 0.9456
16:20:23.678   Training iter 100, batch loss 0.1147, batch acc 0.9526
16:20:25.679   Training iter 150, batch loss 0.1117, batch acc 0.9502
16:20:27.689   Training iter 200, batch loss 0.1154, batch acc 0.9476
16:20:29.698   Training iter 250, batch loss 0.1141, batch acc 0.9460
16:20:31.708   Training iter 300, batch loss 0.1133, batch acc 0.9512
16:20:33.707   Training iter 350, batch loss 0.1120, batch acc 0.9540
16:20:35.706   Training iter 400, batch loss 0.1111, batch acc 0.9518
16:20:37.708   Training iter 450, batch loss 0.1095, batch acc 0.9518
16:20:39.710   Training iter 500, batch loss 0.1131, batch acc 0.9502
16:20:41.720   Training iter 550, batch loss 0.1095, batch acc 0.9568
16:20:43.738   Training iter 600, batch loss 0.1109, batch acc 0.9544
16:20:43.739 Testing @ 10 epoch...
16:20:44.904     Testing, total mean loss 0.10741, total acc 0.95610
16:20:44.904 Training @ 11 epoch...
16:20:46.916   Training iter 50, batch loss 0.1099, batch acc 0.9560
16:20:48.917   Training iter 100, batch loss 0.1145, batch acc 0.9520
16:20:50.924   Training iter 150, batch loss 0.1101, batch acc 0.9534
16:20:52.938   Training iter 200, batch loss 0.1108, batch acc 0.9468
16:20:54.950   Training iter 250, batch loss 0.1111, batch acc 0.9522
16:20:56.957   Training iter 300, batch loss 0.1104, batch acc 0.9524
16:20:58.962   Training iter 350, batch loss 0.1106, batch acc 0.9534
16:21:00.976   Training iter 400, batch loss 0.1119, batch acc 0.9528
16:21:02.976   Training iter 450, batch loss 0.1101, batch acc 0.9514
16:21:04.988   Training iter 500, batch loss 0.1117, batch acc 0.9462
