12:34:42.678 Training @ 0 epoch...
12:34:51.265   Training iter 50, batch loss 1.2883, batch acc 0.5676
12:34:59.866   Training iter 100, batch loss 0.5075, batch acc 0.8414
12:35:08.431   Training iter 150, batch loss 0.3642, batch acc 0.8872
12:35:17.018   Training iter 200, batch loss 0.2992, batch acc 0.9080
12:35:25.616   Training iter 250, batch loss 0.2803, batch acc 0.9128
12:35:34.189   Training iter 300, batch loss 0.2213, batch acc 0.9322
12:35:42.785   Training iter 350, batch loss 0.2192, batch acc 0.9316
12:35:51.388   Training iter 400, batch loss 0.1940, batch acc 0.9372
12:35:59.985   Training iter 450, batch loss 0.1761, batch acc 0.9470
12:36:08.570   Training iter 500, batch loss 0.1564, batch acc 0.9490
12:36:17.142   Training iter 550, batch loss 0.1530, batch acc 0.9546
12:36:25.728   Training iter 600, batch loss 0.1552, batch acc 0.9526
12:36:25.729 Testing @ 0 epoch...
12:36:27.989     Testing, total mean loss 0.14125, total acc 0.95580
12:36:27.989 Training @ 1 epoch...
12:36:36.577   Training iter 50, batch loss 0.1364, batch acc 0.9572
12:36:45.151   Training iter 100, batch loss 0.1337, batch acc 0.9578
12:36:53.720   Training iter 150, batch loss 0.1234, batch acc 0.9612
12:37:02.290   Training iter 200, batch loss 0.1247, batch acc 0.9622
12:37:10.858   Training iter 250, batch loss 0.1123, batch acc 0.9668
12:37:19.411   Training iter 300, batch loss 0.1230, batch acc 0.9624
12:37:28.000   Training iter 350, batch loss 0.1154, batch acc 0.9638
12:37:36.594   Training iter 400, batch loss 0.1086, batch acc 0.9650
12:37:45.152   Training iter 450, batch loss 0.1106, batch acc 0.9676
12:37:53.701   Training iter 500, batch loss 0.0934, batch acc 0.9716
12:38:02.265   Training iter 550, batch loss 0.1026, batch acc 0.9652
12:38:10.837   Training iter 600, batch loss 0.0944, batch acc 0.9722
12:38:10.838 Training @ 2 epoch...
12:38:19.403   Training iter 50, batch loss 0.0796, batch acc 0.9742
12:38:27.985   Training iter 100, batch loss 0.0849, batch acc 0.9722
12:38:36.544   Training iter 150, batch loss 0.0860, batch acc 0.9732
12:38:45.098   Training iter 200, batch loss 0.0860, batch acc 0.9732
12:38:53.652   Training iter 250, batch loss 0.0972, batch acc 0.9704
12:39:02.244   Training iter 300, batch loss 0.0740, batch acc 0.9774
12:39:10.819   Training iter 350, batch loss 0.0870, batch acc 0.9736
12:39:19.400   Training iter 400, batch loss 0.0787, batch acc 0.9774
12:39:27.962   Training iter 450, batch loss 0.0822, batch acc 0.9744
12:39:36.546   Training iter 500, batch loss 0.0911, batch acc 0.9724
12:39:45.120   Training iter 550, batch loss 0.0721, batch acc 0.9764
12:39:53.683   Training iter 600, batch loss 0.0818, batch acc 0.9742
12:39:53.684 Training @ 3 epoch...
12:40:02.247   Training iter 50, batch loss 0.0815, batch acc 0.9752
12:40:10.807   Training iter 100, batch loss 0.0641, batch acc 0.9806
12:40:19.376   Training iter 150, batch loss 0.0681, batch acc 0.9762
12:40:27.949   Training iter 200, batch loss 0.0717, batch acc 0.9762
12:40:36.531   Training iter 250, batch loss 0.0785, batch acc 0.9772
12:40:45.102   Training iter 300, batch loss 0.0709, batch acc 0.9768
12:40:53.690   Training iter 350, batch loss 0.0585, batch acc 0.9800
12:41:02.274   Training iter 400, batch loss 0.0664, batch acc 0.9798
12:41:10.838   Training iter 450, batch loss 0.0666, batch acc 0.9790
12:41:19.421   Training iter 500, batch loss 0.0706, batch acc 0.9792
12:41:27.983   Training iter 550, batch loss 0.0550, batch acc 0.9828
12:41:36.539   Training iter 600, batch loss 0.0641, batch acc 0.9798
12:41:36.540 Training @ 4 epoch...
12:41:45.134   Training iter 50, batch loss 0.0567, batch acc 0.9848
12:41:53.691   Training iter 100, batch loss 0.0627, batch acc 0.9814
